rank,symbol,news_dir,value_dir,tech_dir,sentiment_dir,hype_risk,overall,lean,dominant
42,CF,51.9,80.4,100.0,55.8,False,75.2,Bullish lean,technical
43,EQH,51.9,,100.0,61.0,False,75.2,Bullish lean,technical
44,HIG,51.9,82.7,97.0,58.5,False,75.2,Bullish lean,technical
45,AMP,51.9,77.3,100.0,58.1,False,75.1,Bullish lean,technical
46,AN,51.9,81.3,97.0,59.8,False,75.1,Bullish lean,technical
47,WTFC,51.9,77.0,100.0,58.7,False,75.1,Bullish lean,technical
48,AMG,51.9,76.3,100.0,58.8,False,75.0,Bullish lean,technical
49,COGT,51.9,,100.0,60.3,False,75.0,Bullish lean,technical
50,RGA,51.9,76.5,100.0,58.6,False,75.0,Bullish lean,technical
51,CGON,51.9,,100.0,59.8,False,74.9,Bullish lean,technical
52,CRBG,51.9,,100.0,59.6,False,74.9,Bullish lean,technical
53,L,51.9,77.2,100.0,57.5,False,74.9,Bullish lean,technical
54,UMBF,51.9,76.0,100.0,58.4,False,74.9,Bullish lean,technical
55,FAF,51.9,,100.0,59.5,False,74.8,Bullish lean,technical
56,SOLV,51.9,76.5,100.0,57.8,False,74.8,Bullish lean,technical
57,SRRK,51.9,,100.0,59.2,False,74.8,Bullish lean,technical
58,ELAN,51.9,,100.0,59.0,False,74.7,Bullish lean,technical
59,GPN,51.9,,100.0,59.1,False,74.7,Bullish lean,technical
60,KYMR,51.9,,100.0,59.0,False,74.7,Bullish lean,technical
61,LEVI,51.9,73.7,100.0,60.0,False,74.7,Bullish lean,technical
62,W,51.9,,100.0,58.8,False,74.7,Bullish lean,technical
63,AIZ,51.9,75.2,100.0,58.1,False,74.6,Bullish lean,technical
64,GH,51.9,,100.0,58.6,False,74.6,Bullish lean,technical
65,IBKR,51.9,,100.0,58.4,False,74.6,Bullish lean,technical
66,MCO,51.9,,100.0,58.5,False,74.6,Bullish lean,technical
67,SJM,51.9,,100.0,58.5,False,74.6,Bullish lean,technical
68,ACT,51.9,82.4,100.0,50.4,False,74.5,Bullish lean,technical
69,CRL,51.9,,100.0,58.3,False,74.5,Bullish lean,technical
70,USB,51.9,73.9,100.0,58.7,False,74.5,Bullish lean,technical
71,GKOS,51.9,,100.0,57.9,False,74.4,Bullish lean,technical
72,HWC,51.9,,100.0,57.8,False,74.4,Bullish lean,technical
73,MTG,51.9,84.1,95.0,56.8,False,74.4,Bullish lean,technical
74,NTRA,51.9,,100.0,57.8,False,74.4,Bullish lean,technical
75,VOYA,51.9,74.7,100.0,57.2,False,74.4,Bullish lean,technical
76,HBAN,51.9,72.3,100.0,59.2,False,74.3,Bullish lean,technical
77,IMVT,51.9,,100.0,57.2,False,74.3,Bullish lean,technical
78,JAN,51.9,,100.0,57.2,False,74.3,Bullish lean,technical
79,RIVN,51.9,,100.0,57.3,False,74.3,Bullish lean,technical
80,TGTX,51.9,68.6,100.0,63.0,False,74.3,Bullish lean,technical
81,ABCB,51.9,73.7,100.0,57.6,False,74.2,Bullish lean,technical
82,CNC,51.9,,100.0,56.8,False,74.2,Bullish lean,technical
83,COLB,51.9,73.5,100.0,57.7,False,74.2,Bullish lean,technical
84,CRNX,51.9,,100.0,56.9,False,74.2,Bullish lean,technical
85,HNGE,51.9,,100.0,56.9,False,74.2,Bullish lean,technical
86,OMF,51.9,74.9,98.0,59.6,False,74.2,Bullish lean,technical
87,PAG,51.9,74.5,100.0,56.8,False,74.2,Bullish lean,technical
88,PTGX,51.9,,100.0,56.8,False,74.2,Bullish lean,technical
89,SEIC,51.9,70.6,100.0,60.3,False,74.2,Bullish lean,technical
90,SYRE,51.9,,100.0,56.9,False,74.2,Bullish lean,technical
91,THG,51.9,81.0,100.0,50.0,False,74.2,Bullish lean,technical
92,TTWO,59.9,,92.0,60.8,False,74.2,Bullish lean,technical
93,CFG,51.9,72.1,100.0,58.3,False,74.1,Bullish lean,technical
94,CROX,51.9,,100.0,56.6,False,74.1,Bullish lean,technical
95,SATA,51.9,,90.0,,False,74.1,Bullish lean,technical
96,BRKR,51.9,,100.0,56.2,False,74.0,Bullish lean,technical
97,ZION,51.9,80.2,100.0,49.8,False,74.0,Bullish lean,technical
98,VSAT,59.9,,91.0,61.4,False,73.9,Bullish lean,technical
99,AGNC,51.9,84.7,96.0,50.7,False,73.7,Bullish lean,technical
100,CART,59.9,58.9,100.0,59.8,False,73.7,Bullish lean,technical
101,CNA,51.9,80.7,100.0,47.9,False,73.7,Bullish lean,technical
102,PYPL,51.9,80.3,100.0,48.5,False,73.7,Bullish lean,technical
103,RF,51.9,78.1,100.0,50.3,False,73.7,Bullish lean,technical
104,WFC,51.9,78.8,99.0,51.8,False,73.7,Bullish lean,technical
105,TMHC,51.9,81.4,98.0,50.2,False,73.6,Bullish lean,technical
106,EHC,51.9,67.2,99.0,62.1,False,73.5,Bullish lean,technical
107,INCY,51.9,70.6,100.0,57.0,False,73.5,Bullish lean,technical
108,URBN,51.9,74.8,100.0,52.6,False,73.5,Bullish lean,technical
109,GL,51.9,77.9,100.0,49.4,False,73.4,Bullish lean,technical
110,SCHW,51.9,66.4,100.0,60.5,False,73.4,Bullish lean,technical
111,TFC,51.9,68.6,100.0,58.4,False,73.4,Bullish lean,technical
112,JLL,51.9,69.3,98.0,60.7,False,73.3,Bullish lean,technical
113,MTB,51.9,75.8,100.0,50.6,False,73.3,Bullish lean,technical
114,PRU,51.9,78.6,100.0,48.0,False,73.3,Bullish lean,technical
115,VCTR,51.9,70.3,100.0,56.5,False,73.3,Bullish lean,technical
116,VG,43.9,76.9,100.0,59.7,False,73.3,Bullish lean,technical
117,EAT,51.9,67.8,100.0,57.7,False,73.1,Bullish lean,technical
118,PRI,51.9,77.0,100.0,48.5,False,73.1,Bullish lean,technical
119,TOL,51.9,80.1,92.0,59.5,False,73.1,Bullish lean,technical
120,OC,51.9,,100.0,52.3,False,73.0,Bullish lean,technical
121,TRU,51.9,52.1,100.0,,False,73.0,Bullish lean,technical
122,FNB,51.9,79.3,92.0,59.2,False,72.9,Bullish lean,technical
123,JXN,51.9,,100.0,51.7,False,72.9,Bullish lean,technical
124,PNFP,51.9,78.6,92.0,59.9,False,72.9,Bullish lean,technical
125,CBSH,51.9,73.1,100.0,51.0,False,72.8,Bullish lean,technical
126,DAL,51.9,74.8,93.0,61.6,False,72.8,Bullish lean,technical
127,SFD,51.9,82.0,89.0,61.2,False,72.8,Bullish lean,technical
128,STT,51.9,66.6,100.0,57.3,False,72.8,Bullish lean,technical
129,ORI,51.9,77.2,98.0,50.0,False,72.7,Bullish lean,technical
130,CYTK,51.9,,93.0,62.9,False,72.6,Bullish lean,technical
131,ET,43.9,73.8,100.0,59.4,False,72.6,Bullish lean,technical
132,IVZ,51.9,,100.0,50.5,False,72.6,Bullish lean,technical
133,NUVL,51.9,,100.0,50.4,False,72.6,Bullish lean,technical
134,RJF,51.9,72.4,100.0,50.6,False,72.6,Bullish lean,technical
135,VTRS,51.9,,100.0,50.5,False,72.6,Bullish lean,technical
136,HR,51.9,,100.0,50.0,False,72.5,Bullish lean,technical
137,AES,51.9,85.8,90.0,53.6,False,72.4,Bullish lean,technical
138,BOKF,51.9,72.7,100.0,49.4,False,72.4,Bullish lean,technical
139,HPQ,59.9,78.7,92.0,47.2,False,72.4,Bullish lean,technical
140,LINE,51.9,,100.0,49.7,False,72.4,Bullish lean,technical
141,MKL,51.9,77.5,97.0,49.8,False,72.4,Bullish lean,technical
142,CFR,51.9,72.4,100.0,49.4,False,72.3,Bullish lean,technical
143,NLY,51.9,86.3,87.0,58.3,False,72.3,Bullish lean,technical
144,TROW,51.9,71.8,100.0,50.0,False,72.3,Bullish lean,technical
145,ATR,51.9,60.7,100.0,60.5,False,72.2,Bullish lean,technical
146,CACC,51.9,73.2,100.0,47.9,False,72.2,Bullish lean,technical
147,DINO,43.9,76.3,100.0,55.0,False,72.2,Bullish lean,technical
148,APC,43.9,,100.0,58.5,False,72.1,Bullish lean,technical
149,APGE,51.9,,100.0,48.7,False,72.1,Bullish lean,technical
150,CCK,51.9,62.2,100.0,58.5,False,72.1,Bullish lean,technical
151,HIMS,51.9,,100.0,48.5,False,72.1,Bullish lean,technical
152,HXL,51.9,,100.0,48.4,False,72.1,Bullish lean,technical
153,KEY,51.9,62.2,100.0,58.3,False,72.1,Bullish lean,technical
154,MS,51.9,75.4,92.0,59.4,False,72.1,Bullish lean,technical
155,SNA,51.9,62.7,100.0,57.7,False,72.1,Bullish lean,technical
156,UGI,51.9,66.1,97.0,60.0,False,72.1,Bullish lean,technical
157,AIG,51.9,75.6,96.0,51.4,False,72.0,Bullish lean,technical
158,KHC,51.9,,100.0,48.3,False,72.0,Bullish lean,technical
159,SPG,51.9,71.3,100.0,48.9,False,72.0,Bullish lean,technical
160,AVTR,51.9,,100.0,47.6,False,71.9,Bullish lean,technical
161,BMY,51.9,69.2,100.0,50.6,False,71.9,Bullish lean,technical
162,BNY,51.9,68.9,100.0,50.7,False,71.9,Bullish lean,technical
163,HOMB,51.9,77.3,95.0,51.0,False,71.9,Bullish lean,technical
164,PAA,43.9,,100.0,57.6,False,71.9,Bullish lean,technical
165,PTCT,51.9,,92.0,61.8,False,71.9,Bullish lean,technical
166,FLG,51.9,,93.0,59.5,False,71.8,Bullish lean,technical
167,FWONA,59.9,49.4,100.0,59.7,False,71.8,Bullish lean,technical
168,OSCR,51.9,,100.0,47.3,False,71.8,Bullish lean,technical
169,SUN,43.9,78.9,100.0,50.1,False,71.8,Bullish lean,technical
170,UBSI,51.9,69.3,100.0,50.0,False,71.8,Bullish lean,technical
171,FCNCA,51.9,80.0,93.0,51.1,False,71.7,Bullish lean,technical
172,FITB,51.9,60.4,100.0,58.3,False,71.7,Bullish lean,technical
173,R,51.9,60.8,100.0,57.6,False,71.7,Bullish lean,technical
174,ADP,59.9,58.2,100.0,49.7,False,71.6,Bullish lean,technical
175,BALL,51.9,60.1,100.0,57.5,False,71.5,Bullish lean,technical
176,BRX,51.9,59.4,100.0,58.2,False,71.5,Bullish lean,technical
177,PAYX,59.9,58.7,100.0,48.8,False,71.5,Bullish lean,technical
178,VLY,51.9,58.5,100.0,59.0,False,71.5,Bullish lean,technical
179,WAL,51.9,83.3,86.0,58.7,False,71.5,Bullish lean,technical
180,EXEL,51.9,68.6,100.0,48.3,False,71.4,Bullish lean,technical
181,MO,51.9,72.2,93.0,57.1,False,71.4,Bullish lean,technical
182,MRNA,51.9,,100.0,45.7,False,71.4,Bullish lean,technical
183,UPS,51.9,66.8,100.0,50.1,False,71.4,Bullish lean,technical
184,WRB,51.9,73.0,97.0,49.5,False,71.4,Bullish lean,technical
185,WTRG,51.9,63.6,97.0,58.7,False,71.4,Bullish lean,technical
186,FDS,51.9,70.2,98.0,50.1,False,71.3,Bullish lean,technical
187,SWX,51.9,69.8,93.0,58.9,False,71.3,Bullish lean,technical
188,BMNP,51.9,,85.0,,False,71.2,Bullish lean,technical
189,HWM,51.9,,92.0,58.9,False,71.2,Bullish lean,technical
190,M,51.9,79.2,93.0,48.8,False,71.1,Bullish lean,technical
191,NTAP,59.9,54.3,100.0,51.4,False,71.1,Bullish lean,technical
192,DELL,59.9,44.9,100.0,60.4,False,71.0,Bullish lean,technical
193,ED,51.9,65.9,100.0,49.3,False,71.0,Bullish lean,technical
194,NTRS,51.9,66.5,100.0,48.6,False,71.0,Bullish lean,technical
195,ONB,51.9,63.7,100.0,51.4,False,71.0,Bullish lean,technical
196,TRNO,51.9,58.1,100.0,56.8,False,71.0,Bullish lean,technical
197,UAL,51.9,80.4,84.0,62.9,False,71.0,Bullish lean,technical
198,HST,51.9,70.3,92.0,58.1,False,70.9,Bullish lean,technical
199,IQV,51.9,55.2,100.0,59.2,False,70.9,Bullish lean,technical
200,REG,51.9,56.5,100.0,58.0,False,70.9,Bullish lean,technical
201,WBS,51.9,78.7,92.0,49.7,False,70.9,Bullish lean,technical
202,DECK,51.9,73.9,89.0,59.7,False,70.8,Bullish lean,technical
203,FWONK,59.9,44.8,100.0,59.4,False,70.8,Bullish lean,technical
204,LTH,51.9,55.5,100.0,58.5,False,70.8,Bullish lean,technical
205,LNTH,51.9,55.4,100.0,58.2,False,70.7,Bullish lean,technical
206,SYY,51.9,59.2,97.0,59.1,False,70.6,Bullish lean,technical
207,AYI,51.9,61.3,99.0,53.1,False,70.5,Bullish lean,technical
208,WES,43.9,72.2,100.0,50.4,False,70.5,Bullish lean,technical
209,D,51.9,62.1,100.0,49.8,False,70.4,Bullish lean,technical
210,HALO,51.9,52.5,100.0,59.5,False,70.4,Bullish lean,technical
211,HESM,43.9,74.3,100.0,47.9,False,70.4,Bullish lean,technical
212,MRSH,51.9,60.0,100.0,52.1,False,70.4,Bullish lean,technical
213,PPG,51.9,68.7,91.0,59.1,False,70.4,Bullish lean,technical
214,AFG,51.9,61.9,100.0,49.8,False,70.3,Bullish lean,technical
215,AMH,51.9,52.6,100.0,58.4,False,70.2,Bullish lean,technical
216,EXPE,51.9,60.7,100.0,50.2,False,70.2,Bullish lean,technical
217,AXP,51.9,61.2,99.0,51.2,False,70.1,Bullish lean,technical
218,EOG,43.9,75.6,92.0,59.0,False,70.1,Bullish lean,technical
219,MUSA,51.9,62.1,100.0,48.5,False,70.1,Bullish lean,technical
220,BBY,51.9,40.2,100.0,,False,70.0,Bullish lean,technical
221,GATX,51.9,66.4,90.0,61.0,False,70.0,Bullish lean,technical
222,MPC,43.9,63.8,100.0,56.4,False,70.0,Bullish lean,technical
223,MPLX,43.9,77.7,91.0,58.3,False,70.0,Bullish lean,technical
224,PSX,43.9,63.4,100.0,56.9,False,70.0,Bullish lean,technical
225,KVUE,51.9,59.7,100.0,49.7,False,69.9,Bullish lean,technical
226,OKE,43.9,69.7,100.0,49.9,False,69.9,Bullish lean,technical
227,LEA,51.9,75.5,91.0,49.5,False,69.8,Bullish lean,technical
228,UNP,51.9,51.3,100.0,57.6,False,69.8,Bullish lean,technical
229,GTLS,51.9,,90.0,56.3,False,69.7,Bullish lean,technical
230,ALLY,51.9,61.5,92.0,60.7,False,69.6,Bullish lean,technical
231,ES,51.9,58.0,100.0,50.0,False,69.6,Bullish lean,technical
232,GD,51.9,48.4,100.0,59.6,False,69.6,Bullish lean,technical
233,POR,51.9,57.7,100.0,50.6,False,69.6,Bullish lean,technical
234,EXPD,51.9,38.0,100.0,,False,69.5,Bullish lean,technical
235,H,51.9,,93.0,50.4,False,69.5,Bullish lean,technical
236,OHI,51.9,57.5,100.0,49.9,False,69.5,Bullish lean,technical
237,PNC,51.9,48.4,100.0,59.2,False,69.5,Bullish lean,technical
238,FHN,51.9,55.6,100.0,51.3,False,69.4,Bullish lean,technical
239,AAPL,59.9,29.1,100.0,67.6,False,69.3,Bullish lean,technical
240,CTRE,51.9,48.7,100.0,58.1,False,69.3,Bullish lean,technical
241,PBF,43.9,69.7,100.0,46.7,False,69.3,Bullish lean,technical
242,PHM,51.9,78.9,86.0,52.0,False,69.3,Bullish lean,technical
243,EPD,43.9,72.2,92.0,57.9,False,69.2,Bullish lean,technical
244,JNJ,51.9,47.3,100.0,58.7,False,69.2,Bullish lean,technical
245,KEX,51.9,60.6,93.0,58.0,False,69.2,Bullish lean,technical
246,VLO,43.9,60.3,100.0,55.9,False,69.2,Bullish lean,technical
247,SPGI,51.9,44.8,100.0,60.8,False,69.1,Bullish lean,technical
248,NDAQ,51.9,51.2,96.0,60.9,False,69.0,Bullish lean,technical
249,PACS,51.9,45.9,100.0,59.3,False,69.0,Bullish lean,technical
250,PR,43.9,54.3,100.0,60.4,False,68.9,Bullish lean,technical
251,WSM,51.9,55.7,100.0,49.0,False,68.9,Bullish lean,technical
252,ESE,59.9,51.0,91.0,58.7,False,68.8,Bullish lean,technical
253,AEP,51.9,62.5,90.0,58.4,False,68.7,Bullish lean,technical
254,GILD,51.9,67.6,86.0,60.6,False,68.7,Bullish lean,technical
255,V,51.9,44.7,100.0,59.1,False,68.7,Bullish lean,technical
256,AEE,51.9,60.1,91.0,58.7,False,68.6,Bullish lean,technical
257,AWK,51.9,49.1,98.0,57.7,False,68.6,Bullish lean,technical
258,LAMR,51.9,46.2,100.0,56.8,False,68.6,Bullish lean,technical
259,NNN,51.9,54.1,100.0,49.2,False,68.6,Bullish lean,technical
260,TXT,51.9,68.8,90.0,51.9,False,68.6,Bullish lean,technical
261,PCAR,51.9,52.0,100.0,50.4,False,68.5,Bullish lean,technical
262,SN,51.9,44.3,100.0,58.5,False,68.5,Bullish lean,technical
263,COKE,51.9,67.8,91.0,50.0,False,68.4,Bullish lean,technical
264,DXCM,51.9,43.2,100.0,59.0,False,68.4,Bullish lean,technical
265,FANG,43.9,,91.0,59.4,False,68.4,Bullish lean,technical
266,GEV,51.9,43.5,100.0,58.4,False,68.4,Bullish lean,technical
267,USFD,51.9,43.0,100.0,59.0,False,68.4,Bullish lean,technical
268,BEN,51.9,,90.0,50.8,False,68.3,Bullish lean,technical
269,IFF,51.9,57.9,91.0,59.5,False,68.3,Bullish lean,technical
270,NWSA,59.9,32.3,100.0,59.1,False,68.3,Bullish lean,technical
271,AIT,51.9,43.8,100.0,57.5,False,68.2,Bullish lean,technical
272,NEE,51.9,59.2,90.0,59.6,False,68.2,Bullish lean,technical
273,ROST,51.9,41.8,100.0,59.1,False,68.2,Bullish lean,technical
274,DVA,51.9,50.3,100.0,50.1,False,68.1,Bullish lean,technical
275,HSIC,51.9,43.0,100.0,57.5,False,68.1,Bullish lean,technical
276,VRTX,51.9,41.0,100.0,59.4,False,68.1,Bullish lean,technical
277,KDP,51.9,58.6,90.0,59.1,False,68.0,Bullish lean,technical
278,RHP,51.9,43.4,100.0,56.9,False,68.0,Bullish lean,technical
279,ACA,51.9,42.6,100.0,57.0,False,67.9,Bullish lean,technical
280,EXC,51.9,59.6,84.0,,False,67.9,Bullish lean,technical
281,FFIV,59.9,40.0,100.0,49.6,False,67.9,Bullish lean,technical
282,FIVE,51.9,53.5,92.0,60.3,False,67.9,Bullish lean,technical
283,BJ,51.9,53.4,96.0,52.8,False,67.8,Bullish lean,technical
284,DUK,51.9,65.6,90.0,51.2,False,67.8,Bullish lean,technical
285,FLR,51.9,56.9,90.0,59.8,False,67.8,Bullish lean,technical
286,NEU,51.9,68.5,89.0,50.0,False,67.8,Bullish lean,technical
287,OVV,43.9,64.1,91.0,60.8,False,67.8,Bullish lean,technical
288,RL,51.9,55.1,91.0,59.7,False,67.8,Bullish lean,technical
289,AFL,51.9,49.4,100.0,49.0,False,67.7,Bullish lean,technical
290,COP,43.9,65.5,90.0,60.4,False,67.7,Bullish lean,technical
291,CPT,51.9,44.9,92.0,,False,67.7,Bullish lean,technical
292,GS,51.9,58.6,93.0,52.4,False,67.7,Bullish lean,technical
293,DCI,51.9,53.3,96.0,51.7,False,67.6,Bullish lean,technical
294,HUBB,51.9,47.9,90.0,,False,67.6,Bullish lean,technical
295,ITW,51.9,53.1,97.0,50.1,False,67.6,Bullish lean,technical
296,LUV,51.9,47.0,100.0,51.1,False,67.6,Bullish lean,technical
297,MGRB,51.9,98.9,61.0,,False,67.6,Bullish lean,value
298,PB,51.9,47.9,100.0,50.3,False,67.6,Bullish lean,technical
299,AIZN,51.9,98.2,61.0,,False,67.5,Bullish lean,value
300,AROC,43.9,63.7,91.0,59.3,False,67.4,Bullish lean,technical
301,CAH,51.9,38.0,100.0,59.1,False,67.4,Bullish lean,technical
302,GTES,51.9,50.5,92.0,60.8,False,67.4,Bullish lean,technical
303,JEF,51.9,62.5,90.0,52.0,False,67.4,Bullish lean,technical
304,MANH,59.9,19.6,100.0,,False,67.4,Bullish lean,technical
305,MSCI,51.9,37.8,100.0,59.3,False,67.4,Bullish lean,technical
306,PM,51.9,39.5,100.0,57.8,False,67.4,Bullish lean,technical
307,ABNB,51.9,38.0,100.0,58.6,False,67.3,Bullish lean,technical
308,PH,51.9,37.6,100.0,59.1,False,67.3,Bullish lean,technical
309,RSG,51.9,43.1,97.0,58.7,False,67.3,Bullish lean,technical
310,MGRD,51.9,99.0,60.0,,False,67.2,Bullish lean,value
311,OGE,51.9,60.1,92.0,50.1,False,67.2,Bullish lean,technical
312,WM,51.9,37.8,100.0,58.3,False,67.2,Bullish lean,technical
313,EPRT,51.9,50.8,92.0,59.0,False,67.1,Bullish lean,technical
314,MA,51.9,30.2,99.0,,False,67.1,Bullish lean,technical
315,MRK,51.9,36.8,100.0,58.6,False,67.1,Bullish lean,technical
316,BRK-B,51.9,73.7,84.0,49.2,False,67.0,Bullish lean,technical
317,INGM,59.9,27.2,100.0,58.1,False,67.0,Bullish lean,technical
318,NSC,51.9,48.3,98.0,50.1,False,67.0,Bullish lean,technical
319,ELS,51.9,36.0,100.0,58.5,False,66.9,Bullish lean,technical
320,KO,51.9,53.6,90.0,58.5,False,66.9,Bullish lean,technical
321,TDY,59.9,42.4,91.0,57.8,False,66.9,Bullish lean,technical
322,BURL,51.9,35.2,100.0,58.7,False,66.8,Bullish lean,technical
323,AM,43.9,52.6,100.0,50.8,False,66.7,Bullish lean,technical
324,DLTR,51.9,36.5,100.0,57.0,False,66.7,Bullish lean,technical
325,MET,51.9,35.5,100.0,58.2,False,66.7,Bullish lean,technical
326,WTS,51.9,42.8,100.0,51.0,False,66.7,Bullish lean,technical
327,AXTA,51.9,57.8,91.0,51.3,False,66.6,Bullish lean,technical
328,TXRH,51.9,43.3,100.0,49.6,False,66.6,Bullish lean,technical
329,CQP,43.9,78.3,90.0,41.5,False,66.4,Bullish lean,technical
330,DG,51.9,32.0,100.0,58.9,False,66.2,Bullish lean,technical
331,LII,51.9,57.4,90.0,50.7,False,66.1,Bullish lean,technical
332,NWS,59.9,23.3,100.0,57.5,False,66.1,Bullish lean,technical
333,VSCO,51.9,38.0,100.0,52.5,False,66.1,Bullish lean,technical
334,PFG,51.9,41.2,100.0,48.7,False,66.0,Bullish lean,technical
335,UDR,51.9,52.1,93.0,50.1,False,66.0,Bullish lean,technical
336,A,51.9,52.6,87.0,60.0,False,65.9,Bullish lean,technical
337,CR,51.9,29.9,100.0,59.1,False,65.8,Bullish lean,technical
338,MEDP,51.9,40.3,100.0,49.0,False,65.8,Bullish lean,technical
339,TTAN,59.9,,70.0,,False,65.8,Bullish lean,technical
340,NYT,59.9,41.8,92.0,50.9,False,65.7,Bullish lean,technical
341,INVH,51.9,43.6,92.0,58.2,False,65.5,Bullish lean,technical
342,PKG,51.9,50.3,92.0,51.3,False,65.5,Bullish lean,technical
343,SM,43.9,51.0,92.0,60.5,False,65.5,Bullish lean,technical
344,VIRT,51.9,67.3,82.0,51.6,False,65.5,Bullish lean,technical
345,GDDY,59.9,74.4,68.0,58.0,False,65.3,Bullish lean,technical
346,CUBE,51.9,47.8,93.0,50.6,False,65.2,Bullish lean,technical
347,FIS,59.9,85.7,59.0,62.4,False,65.2,Bullish lean,value
348,KMI,43.9,60.3,91.0,51.7,False,65.2,Bullish lean,technical
349,RBLX,59.9,,69.0,65.0,False,65.2,Bullish lean,technical
350,CBC,51.9,28.5,100.0,57.0,False,65.1,Bullish lean,technical
351,CNP,51.9,52.4,90.0,50.7,False,65.1,Bullish lean,technical
352,EVRG,51.9,49.0,92.0,50.7,False,65.1,Bullish lean,technical
353,TGT,51.9,28.7,100.0,57.0,False,65.1,Bullish lean,technical
354,LLY,51.9,25.5,100.0,59.4,False,65.0,Bullish lean,technical
355,NDSN,51.9,45.2,89.0,59.3,False,65.0,Bullish lean,technical
356,THC,51.9,82.0,66.0,61.7,False,64.8,Bullish lean,value
357,GE,51.9,23.6,100.0,60.2,False,64.7,Bullish lean,technical
358,HPE,59.9,9.1,100.0,,False,64.7,Bullish lean,technical
359,CLH,51.9,24.9,100.0,57.5,False,64.5,Bullish lean,technical
360,GWW,51.9,33.6,100.0,48.9,False,64.5,Bullish lean,technical
361,HRL,51.9,32.7,100.0,50.0,False,64.5,Bullish lean,technical
362,ARMK,51.9,24.2,100.0,57.9,False,64.4,Bullish lean,technical
363,ATO,51.9,57.4,85.0,50.9,False,64.4,Bullish lean,technical
364,TRGP,43.9,34.8,100.0,57.2,False,64.4,Bullish lean,technical
365,UNM,51.9,38.3,91.0,59.5,False,64.4,Bullish lean,technical
366,AME,51.9,36.1,92.0,58.9,False,64.2,Bullish lean,technical
367,QSR,51.9,41.4,89.0,59.2,False,64.2,Bullish lean,technical
368,AVT,59.9,40.0,89.0,50.1,False,64.1,Bullish lean,technical
369,LNG,43.9,32.5,100.0,58.1,False,64.1,Bullish lean,technical
370,XOM,43.9,56.1,90.0,52.2,False,64.1,Bullish lean,technical
371,CTAS,51.9,27.8,100.0,52.3,False,64.0,Bullish lean,technical
372,DUOL,59.9,73.8,71.0,47.0,False,64.0,Bullish lean,technical
