rank,ticker,company,sector,screens_eligible,top10_count,avg_percentile,screens
76,SIRI,Sirius XM Holdings Inc.,Communication Services,6,0,77.38025689962963,
77,FOX,,,9,0,77.16310719026855,
78,EXEL,"Exelixis, Inc.",Healthcare,10,0,76.67528660210711,
79,VZ,Verizon Communications Inc.,Communication Services,6,0,76.53030356766945,
80,LDOS,"Leidos Holdings, Inc.",Technology,9,0,76.4197645713465,
81,UAL,"United Airlines Holdings, Inc.",Industrials,7,0,76.15602735163618,
82,BAH,Booz Allen Hamilton Holding Corporation,Industrials,8,0,76.1242724002253,
83,FOXA,Fox Corporation,Communication Services,9,0,76.0579441465835,
84,GDDY,GoDaddy Inc.,Technology,7,0,76.02045981740967,
85,DIS,The Walt Disney Company,Communication Services,7,0,75.17401449815303,
86,TTD,"The Trade Desk, Inc.",Communication Services,8,0,74.82056508192495,
87,EQT,EQT Corporation,Energy,7,0,74.43576648007725,
88,PYPL,"PayPal Holdings, Inc.",Financial Services,9,0,74.3900164297206,
89,PHM,"PulteGroup, Inc.",Consumer Cyclical,10,0,73.49826295993988,
90,CPB,Campbell Soup Company,Consumer Defensive,8,0,73.43568519165711,
91,GAP,"The Gap, Inc.",Consumer Cyclical,7,0,73.2918643678506,
92,RRC,Range Resources Corporation,Energy,10,0,72.43722682522974,
93,COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,7,0,72.24034964124854,
94,SWKS,"Skyworks Solutions, Inc.",Technology,9,0,72.18427303087562,
95,PGR,The Progressive Corporation,Financial Services,8,0,71.94836737674024,
96,TMUS,"T-Mobile US, Inc.",Communication Services,7,0,71.75837461189815,
97,ALL,The Allstate Corporation,Financial Services,6,0,71.42671604294362,
98,NE,Noble Corporation Plc,Energy,6,0,71.42382058793565,
99,STZ,"Constellation Brands, Inc.",Consumer Defensive,7,0,71.0895915922063,
100,SSNC,"SS&C Technologies Holdings, Inc.",Technology,6,0,71.03266927499499,
101,VFC,V.F. Corporation,Consumer Cyclical,6,0,71.01604380716276,
102,DHI,"D.R. Horton, Inc.",Consumer Cyclical,9,0,70.69920780819156,
103,L,Loews Corporation,Financial Services,6,0,70.64749439635393,
104,OVV,Ovintiv Inc.,Energy,8,0,70.586271475472,
105,FBIN,"Fortune Brands Innovations, Inc.",Industrials,7,0,70.46326720776769,
106,SWK,"Stanley Black & Decker, Inc.",Industrials,6,0,70.42122952788607,
107,PAYX,"Paychex, Inc.",Technology,8,0,70.29901699786913,
108,T,AT&T Inc.,Communication Services,7,0,70.28317894608544,
109,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,6,0,70.28040494781837,
110,AMG,"Affiliated Managers Group, Inc.",Financial Services,6,0,69.8769494285306,
111,RMD,ResMed Inc.,Healthcare,10,0,69.7663313075261,
112,MGRE,"Affiliated Managers Group, Inc.",Financial Services,6,0,69.70735306683251,
113,CART,Maplebear Inc.,Technology,6,0,69.65337384863346,
114,KR,The Kroger Co.,Consumer Defensive,6,0,69.64472488032885,
115,STWD,"Starwood Property Trust, Inc.",Real Estate,6,0,69.5931462074563,
116,MTDR,Matador Resources Company,Energy,8,0,69.40301023784903,
117,BWA,BorgWarner Inc.,Consumer Cyclical,8,0,69.38892384542851,
118,INGM,Ingram Micro Holding Corporation,Technology,7,0,69.37265156572829,
119,CTVA,,,6,0,69.21652697209228,
120,AU,AngloGold Ashanti plc,Basic Materials,8,0,69.08954618584723,
121,MGRB,"Affiliated Managers Group, Inc.",Financial Services,6,0,68.9928646543784,
122,MOH,"Molina Healthcare, Inc.",Healthcare,6,0,68.9512203564991,
123,EMN,Eastman Chemical Company,Basic Materials,6,0,68.91511829841059,
124,MGRD,"Affiliated Managers Group, Inc.",Financial Services,6,0,68.8430859700485,
125,INTU,Intuit Inc.,Technology,9,0,68.77216506864912,
126,HLI,"Houlihan Lokey, Inc.",Financial Services,8,0,68.76095855391314,
127,MORN,"Morningstar, Inc.",Financial Services,7,0,68.73118087336469,
128,FCNCA,"First Citizens BancShares, Inc.",Financial Services,6,0,68.6334675760185,
129,GGG,Graco Inc.,Industrials,9,0,68.63068836050485,
130,COP,ConocoPhillips,Energy,8,0,68.58371695839185,
131,CRM,"Salesforce, Inc.",Technology,6,0,68.52560531902945,
132,HQY,"HealthEquity, Inc.",Healthcare,6,0,68.52329031977875,
133,THG,"The Hanover Insurance Group, Inc.",Financial Services,6,0,68.3958468568769,
134,CHE,Chemed Corporation,Healthcare,8,0,68.3634983762863,
135,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,8,0,68.27104170150142,
136,MKC,"McCormick & Company, Incorporated",Consumer Defensive,6,0,68.21357396824773,
137,CI,Cigna Corporation,Healthcare,6,0,67.99307410321283,
138,SF,Stifel Financial Corp,Financial Services,6,0,67.76217632366156,
139,ACI,"Albertsons Companies, Inc.",Consumer Defensive,6,0,67.6961651710074,
140,SMCI,"Super Micro Computer, Inc.",Technology,8,0,67.67021530400916,
141,EVR,Evercore Inc.,Financial Services,7,0,67.6021176692261,
142,CL,Colgate-Palmolive Company,Consumer Defensive,7,0,67.55974768560785,
143,GM,General Motors Company,Consumer Cyclical,6,0,67.4279375126548,
144,CVS,CVS Health Corp.,Healthcare,6,0,67.03110035027679,
145,CCK,"Crown Holdings, Inc.",Consumer Cyclical,7,0,66.88128696190347,
146,PFE,Pfizer Inc.,Healthcare,8,0,66.8049142196847,
147,CNM,"Core & Main, Inc.",Industrials,9,0,66.76803203193712,
148,NEU,NewMarket Corporation,Basic Materials,9,0,66.663942359683,
149,LEA,Lear Corporation,Consumer Cyclical,7,0,66.61623434389797,
150,JKHY,"Jack Henry & Associates, Inc.",Technology,9,0,66.44957437111246,
151,FDS,FactSet Research Systems Inc.,Financial Services,8,0,66.29884251596341,
152,ZTS,Zoetis Inc.,Healthcare,7,0,66.25143311651111,
153,AIZ,"Assurant, Inc.",Financial Services,7,0,66.20288682113885,
154,LH,Labcorp Holdings Inc.,Healthcare,6,0,66.18065122271229,
155,TROW,"T. Rowe Price Group, Inc.",Financial Services,8,0,65.81176987407596,
156,PAA,"Plains All American Pipeline, L.P.",Energy,7,0,65.78598470328689,
157,GEN,Gen Digital Inc.,Technology,6,0,65.74947357285193,
158,HESM,Hess Midstream LP,Energy,8,0,65.62287433988932,
159,TOL,"Toll Brothers, Inc.",Consumer Cyclical,10,0,65.56772925109453,
160,WDAY,"Workday, Inc.",Technology,6,0,65.5349952796966,
161,ALSN,"Allison Transmission Holdings, Inc.",Consumer Cyclical,9,0,65.50853609689779,
162,AVT,"Avnet, Inc.",Technology,7,0,65.4498991221267,
163,ACM,Aecom,Industrials,8,0,65.29299923436503,
164,DGX,Quest Diagnostics Incorporated,Healthcare,7,0,65.07666534391721,
165,DG,Dollar General Corporation,Consumer Defensive,7,0,64.94830990706848,
166,TGT,Target Corporation,Consumer Defensive,7,0,64.84080503355345,
167,AXTA,Axalta Coating Systems Ltd.,Basic Materials,7,0,64.5649199814957,
168,CCL,Carnival Corporation & plc,Consumer Cyclical,6,0,64.54267708069682,
169,HALO,"Halozyme Therapeutics, Inc.",Healthcare,7,0,64.45917730781703,
170,AGCO,AGCO Corporation,Industrials,8,0,64.24126779950103,
171,GMED,"Globus Medical, Inc.",Healthcare,8,0,64.12428150836588,
172,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,9,0,64.11248399034031,
173,EHC,Encompass Health Corporation,Healthcare,8,0,63.96091891718558,
174,TSN,"Tyson Foods, Inc.",Consumer Defensive,6,0,63.75634187798581,
175,KNX,Knight-Swift Transportation Holdings Inc.,Industrials,6,0,63.67871093032985,
176,TRV,"The Travelers Companies, Inc.",Financial Services,7,0,63.535021786333026,
177,FDXF,"FedEx Freight Holding Company, Inc.",Industrials,9,0,63.517199042034605,
178,HII,"Huntington Ingalls Industries, Inc.",Industrials,7,0,63.395389962058125,
179,PAYC,"Paycom Software, Inc.",Technology,9,0,63.3450957087858,
180,IBP,"Installed Building Products, Inc.",Consumer Cyclical,9,0,63.14188390971698,
181,HON,Honeywell International Inc.,Industrials,7,0,63.07781101719103,
182,CSL,Carlisle Companies Incorporated,Industrials,9,0,63.04205050097102,
183,CINF,Cincinnati Financial Corporation,Financial Services,6,0,62.89282800713182,
184,URBN,"Urban Outfitters, Inc.",Consumer Cyclical,10,0,62.85316587022889,
185,GILD,"Gilead Sciences, Inc.",Healthcare,8,0,62.78698283856738,
186,CMC,Commercial Metals Company,Basic Materials,8,0,62.56742787230684,
187,TSCO,Tractor Supply Company,Consumer Cyclical,7,0,62.322943393157566,
188,NTAP,"NetApp, Inc.",Technology,8,0,62.211588975342856,
189,BDX,"Becton, Dickinson and Company",Healthcare,7,0,61.96187643057415,
190,WRB,W. R. Berkley Corporation,Financial Services,7,0,61.68317330807398,
191,TRU,TransUnion,Industrials,6,0,61.55209169722159,
192,MEDP,,,8,0,61.50021964901669,
193,NFG,National Fuel Gas Company,Energy,7,0,61.499467591441615,
194,J,Jacobs Solutions Inc.,Industrials,6,0,61.2651036079518,
195,R,"Ryder System, Inc.",Industrials,6,0,61.03663098897399,
196,LHX,"L3Harris Technologies, Inc.",Industrials,7,0,61.030006882026164,
197,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,8,0,60.9882149712832,
198,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,7,0,60.96739064660882,
199,CDW,CDW Corporation,Technology,7,0,60.83981144924696,
200,CHRD,,,7,0,60.61724254865537,
201,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,7,0,60.53551721735086,
202,PTC,PTC Inc.,Technology,8,0,60.49598259538521,
203,RRX,Regal Rexnord Corporation,Industrials,7,0,60.32599625064188,
204,AR,Antero Resources Corporation,Energy,7,0,60.12917742084192,
205,LMT,,,7,0,59.762957756954236,
206,KMB,Kimberly-Clark Corporation,Consumer Defensive,7,0,59.544006812695606,
207,PCTY,Paylocity Holding Corporation,Technology,9,0,59.511146647057444,
208,GTES,Gates Industrial Corporation plc,Industrials,7,0,59.440583079843165,
209,TTEK,"Tetra Tech, Inc.",Industrials,8,0,59.3925384045706,
210,BSX,Boston Scientific Corporation,Healthcare,7,0,59.38427876768468,
211,TKO,"TKO Group Holdings, Inc.",Communication Services,6,0,58.852319734963146,
212,CELH,"Celsius Holdings, Inc.",Consumer Defensive,6,0,58.73330906146801,
213,KVUE,Kenvue Inc.,Consumer Defensive,7,0,58.68730937438075,
214,BKR,,,6,0,58.581487336204766,
215,ERIE,Erie Indemnity Company,Financial Services,8,0,58.47243899136724,
216,SSD,"Simpson Manufacturing Co., Inc.",Industrials,9,0,58.45495507376435,
217,HAL,Halliburton Company,Energy,8,0,58.2951970194177,
218,EAT,"Brinker International, Inc.",Consumer Cyclical,8,0,57.769439547797,
219,AM,Antero Midstream Corporation,Energy,6,0,57.749448829538515,
220,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,7,0,57.5838362306481,
221,BRX,Brixmor Property Group Inc.,Real Estate,6,0,57.33830083536784,
222,HWC,Hancock Whitney Corporation,Financial Services,6,0,57.303072637167865,
223,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,7,0,57.29180633390984,
224,EXPE,,,6,0,57.238250041462386,
225,SLB,Slb N.V.,Energy,9,0,57.193502719075155,
226,FSLR,"First Solar, Inc.",Technology,10,0,57.180080589978424,
227,FLS,Flowserve Corporation,Industrials,8,0,57.151995791178976,
228,ZBRA,Zebra Technologies Corporation,Technology,8,0,57.150022747296866,
229,PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,6,0,57.133758731746894,
230,BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,7,0,56.99134870309707,
231,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,7,0,56.969757760991776,
232,PEP,"PepsiCo, Inc.",Consumer Defensive,7,0,56.94468494260353,
233,SYY,Sysco Corporation,Consumer Defensive,8,0,56.85749668299341,
234,PG,The Procter & Gamble Company,Consumer Defensive,8,0,56.77525927503968,
235,GEHC,GE HealthCare Technologies Inc.,Healthcare,7,0,56.76463167258155,
236,FCFS,"FirstCash Holdings, Inc",Financial Services,6,0,56.69632916982732,
237,SOJC,The Southern Company JR 2017B NT 77,Utilities,6,0,56.33395006159563,
238,FHN,First Horizon Corporation,Financial Services,6,0,56.33332014358205,
239,FDX,FedEx Corporation,Industrials,7,0,56.281866835238525,
240,TRMB,Trimble Inc.,Technology,6,0,56.249685210611744,
241,EWBC,"East West Bancorp, Inc.",Financial Services,8,0,56.21934318421734,
242,AVY,Avery Dennison Corporation,Consumer Cyclical,8,0,56.075556204072186,
243,EMR,Emerson Electric Co.,Industrials,6,0,56.04832320596199,
244,SEIC,SEI Investments Company,Financial Services,9,0,55.95598210207033,
245,PR,Permian Resources Corporation,Energy,7,0,55.69181782183971,
246,RL,Ralph Lauren Corporation,Consumer Cyclical,9,0,55.68054922794322,
247,ICE,"Intercontinental Exchange, Inc.",Financial Services,6,0,55.66353259987725,
248,XYZ,"Block, Inc.",Technology,7,0,55.611475766373324,
249,COO,"The Cooper Companies, Inc.",Healthcare,6,0,55.46408181295708,
250,INCY,Incyte Corporation,Healthcare,10,0,55.41337175320704,
251,EPRT,,,7,0,55.321542856652705,
252,ZM,"Zoom Communications, Inc.",Technology,7,0,55.29992543865321,
253,ORI,Old Republic International Corporation,Financial Services,7,0,55.21439072569043,
254,DCI,"Donaldson Company, Inc.",Industrials,9,0,55.139040590844125,
255,SFD,"Smithfield Foods, Inc.",Consumer Defensive,8,0,55.08668194267748,
256,RJF,"Raymond James Financial, Inc.",Financial Services,8,0,55.04420010048433,
257,AWI,"Armstrong World Industries, Inc.",Industrials,9,0,54.877475952519745,
258,HSIC,"Henry Schein, Inc.",Healthcare,7,0,54.83434287881188,
259,HRL,Hormel Foods Corporation,Consumer Defensive,6,0,54.77148342594827,
260,MGM,MGM Resorts International,Consumer Cyclical,6,0,54.700949847716856,
261,BOKF,BOK Financial Corporation,Financial Services,6,0,54.41918701899761,
262,ALGN,"Align Technology, Inc.",Healthcare,8,0,54.34491895222647,
263,KMI,"Kinder Morgan, Inc.",Energy,7,0,54.308546124393864,
264,EQR,Equity Residential,Real Estate,6,0,54.27745991092047,
265,ET,Energy Transfer LP,Energy,6,0,54.1159273565676,
266,WES,"Western Midstream Partners, LP",Energy,7,0,54.07781060385861,
267,GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,6,0,53.994119247632035,
268,MANH,"Manhattan Associates, Inc.",Technology,9,0,53.98435584515416,
269,MRK,"Merck & Co., Inc.",Healthcare,8,0,53.85739468379098,
270,KGS,"Kodiak Gas Services, Inc.",Energy,6,0,53.7161760132984,
271,XOM,Exxon Mobil Corporation,Energy,7,0,53.54300699976465,
272,AYI,"Acuity Brands, Inc.",Industrials,10,0,53.48614847758572,
273,MSM,"MSC Industrial Direct Co., Inc.",Industrials,9,0,53.19311022275246,
274,BR,"Broadridge Financial Solutions, Inc.",Technology,9,0,52.99677905234033,
275,SNX,TD Synnex Corp,Technology,7,0,52.911022516199345,
276,ADSK,"Autodesk, Inc.",Technology,8,0,52.90817707725165,
277,LECO,"Lincoln Electric Holdings, Inc.",Industrials,9,0,52.82285466976599,
278,DINO,HF Sinclair Corporation,Energy,7,0,52.810323318485985,
279,FTNT,"Fortinet, Inc.",Technology,7,0,52.60882428065005,
280,HST,"Host Hotels & Resorts, Inc.",Real Estate,6,0,52.58096833793383,
281,WTFC,Wintrust Financial Corporation,Financial Services,6,0,52.47392240617668,
282,TXT,Textron Inc.,Industrials,8,0,52.43829195495279,
283,POOL,Pool Corporation,Industrials,8,0,52.401823238880326,
284,IR,Ingersoll Rand Inc.,Industrials,6,0,52.38647585141527,
285,UPS,"United Parcel Service, Inc.",Industrials,8,0,52.3763632635946,
286,PINS,"Pinterest, Inc.",Communication Services,8,0,52.35188603007163,
287,VLTO,Veralto Corporation,Industrials,8,0,52.30336053122489,
288,WBS,Webster Financial Corporation,Financial Services,6,0,52.22883545774116,
289,EXP,Eagle Materials Inc.,Basic Materials,8,0,52.132884538778804,
290,DT,"Dynatrace, Inc.",Technology,6,0,51.96201255296439,
291,CHWY,"Chewy, Inc.",Consumer Cyclical,6,0,51.9275893145253,
292,MDLZ,"Mondelez International, Inc.",Consumer Defensive,6,0,51.88977269842591,
293,MATX,"Matson, Inc.",Industrials,8,0,51.699462198631274,
294,ZWS,Zurn Elkay Water Solutions Corporation,Industrials,7,0,51.61510866235337,
295,AN,"AutoNation, Inc.",Consumer Cyclical,7,0,51.61070976076288,
296,TYL,"Tyler Technologies, Inc.",Technology,6,0,51.47825240503892,
297,LNTH,"Lantheus Holdings, Inc.",Healthcare,7,0,51.474833061673145,
298,SNDR,"Schneider National, Inc.",Industrials,6,0,51.45342693683238,
299,MPLX,MPLX Lp,Energy,9,0,51.450087434994856,
300,JBL,,,7,0,51.44571373264663,
301,IBM,International Business Machines Corporation,Technology,7,0,51.37082651484284,
302,GL,Globe Life Inc.,Financial Services,7,0,51.21385475507368,
303,WMS,"Advanced Drainage Systems, Inc.",Industrials,9,0,51.08241426994377,
304,NFLX,"Netflix, Inc.",Communication Services,9,0,50.932522284026184,
305,SN,,,10,0,50.927527259721316,
306,DXCM,"DexCom, Inc.",Healthcare,8,0,50.88046856784551,
307,CDE,"Coeur Mining, Inc.",Basic Materials,6,0,50.83899646548762,
308,KEX,Kirby Corporation,Industrials,8,0,50.82916929795987,
309,OKE,"ONEOK, Inc.",Energy,8,0,50.56339018450374,
310,VLO,Valero Energy Corporation,Energy,8,0,50.48980295479221,
311,UBER,"Uber Technologies, Inc.",Technology,6,0,50.44610374281908,
312,HD,"The Home Depot, Inc.",Consumer Cyclical,7,0,50.31330316033707,
313,ABCB,Ameris Bancorp,Financial Services,6,0,50.124540090372825,
314,EME,"EMCOR Group, Inc.",Industrials,9,0,49.95376405256642,
315,EA,Electronic Arts Inc.,Technology,7,0,49.85138277995106,
316,PCAR,PACCAR Inc,Industrials,7,0,49.73963510563091,
317,NDSN,Nordson Corporation,Industrials,8,0,49.72539845152194,
318,BSY,"Bentley Systems, Incorporated",Technology,7,0,49.69660813807588,
319,NYT,The New York Times Company,Communication Services,10,0,49.510473773620774,
320,UBSI,"United Bankshares, Inc.",Financial Services,6,0,49.359556858470704,
321,LAD,"Lithia Motors, Inc.",Consumer Cyclical,6,0,49.18045194842099,
322,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,7,0,49.11716199046105,
323,MKSI,,,6,0,48.8342767195601,
324,RVTY,"Revvity, Inc.",Healthcare,7,0,48.63900266066935,
325,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,8,0,48.5355191159244,
326,FERG,Ferguson plc,Industrials,8,0,48.4800739434956,
327,DOC,"Healthpeak Properties, Inc.",Real Estate,6,0,48.47189248017435,
328,CARR,,,6,0,48.30545141942225,
329,NXT,Nextpower Inc.,Technology,10,0,48.28869768074564,
330,NKE,"NIKE, Inc.",Consumer Cyclical,8,0,48.237673191557036,
331,GOOG,Alphabet Inc.,Communication Services,10,0,48.169305683425144,
332,TKR,The Timken Company,Industrials,7,0,47.92360662290951,
333,GOOGL,Alphabet Inc.,Communication Services,10,0,47.846267868987255,
334,VCTR,"Victory Capital Holdings, Inc.",Financial Services,7,0,47.804946154510844,
335,WPC,W. P. Carey Inc.,Real Estate,6,0,47.789380725246644,
336,AIT,"Applied Industrial Technologies, Inc.",Industrials,10,0,47.76883995417583,
337,GWW,"W.W. Grainger, Inc.",Industrials,9,0,47.63174771898774,
338,ITW,Illinois Tool Works Inc.,Industrials,7,0,47.366871931936274,
339,HSY,The Hershey Company,Consumer Defensive,8,0,47.35735489102548,
340,AEP,"American Electric Power Company, Inc.",Utilities,6,0,47.35622339982354,
341,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,9,0,47.34589476542909,
342,ABT,Abbott Laboratories,Healthcare,9,0,47.257015880669535,
343,FAST,Fastenal Company,Industrials,9,0,47.237923982177406,
344,EW,Edwards Lifesciences Corporation,Healthcare,9,0,47.18772939659622,
345,SPGI,S&P Global Inc.,Financial Services,7,0,47.16322556012449,
346,QSR,Restaurant Brands International Inc.,Consumer Cyclical,7,0,47.036218368397655,
347,MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,7,0,46.998175537315795,
348,TCPA,TransCanada PipeLines Limited 6,Energy,7,0,46.7976876497255,
349,IDXX,"IDEXX Laboratories, Inc.",Healthcare,9,0,46.68804178825494,
350,AMGN,Amgen Inc.,Healthcare,7,0,46.61893959225974,
351,VSXY,Victoria's Secret & Company,Consumer Cyclical,6,0,46.50580399410089,
352,SCI,Service Corporation International,Consumer Cyclical,6,0,46.446557092576235,
353,HBAN,Huntington Bancshares Incorporated,Financial Services,6,0,46.35241676972722,
354,CPT,Camden Property Trust,Real Estate,6,0,46.18065980483053,
355,DAR,Darling Ingredients Inc.,Consumer Defensive,8,0,46.12609581344179,
356,CORT,Corcept Therapeutics Incorporated,Healthcare,9,0,46.090418463808795,
357,FFIV,"F5, Inc.",Technology,10,0,45.80354928418996,
358,URI,"United Rentals, Inc.",Industrials,8,0,45.57248400380338,
359,AKAM,"Akamai Technologies, Inc.",Technology,6,0,45.55203640241984,
360,APPF,AppFolio Inc.,Technology,7,0,45.24515777980812,
361,VRSK,"Verisk Analytics, Inc.",Technology,8,0,45.196536232751555,
