symbol,name,sector,market_cap
RTX,RTX Corporation,Industrials,251007685199.99997
IBM,International Business Machines Corporation,Information Technology,249013131900
C,Citigroup Inc.,Financials,244903794968.45
MRVL,"Marvell Technology, Inc.",Information Technology,242057160000
AXP,American Express Company,Financials,233208943320.755
WDC,Western Digital Corporation,Information Technology,231195451500
QCOM,QUALCOMM Incorporated,Information Technology,215964600000
ANET,"Arista Networks, Inc.",Information Technology,203658064902.12003
APH,Amphenol Corporation,Information Technology,203172484500
ADI,"Analog Devices, Inc.",Information Technology,201244881446.40002
TMUS,"T-Mobile US, Inc.",Communication Services,195651790786.43
PANW,"Palo Alto Networks, Inc.",Information Technology,194755491059
MCD,McDonald's Corporation,Consumer Discretionary,193016059960.00003
PEP,"PepsiCo, Inc.",Consumer Staples,190715609017.6
VZ,Verizon Communications Inc.,Communication Services,190050613400
AMGN,Amgen Inc.,Health Care,187284073080
RICAX,American Funds Investment Company of America® Class R-1,Financials,186398900206.25
RICBX,American Funds Invmt Co of Amer R2,Financials,186398900164.28
TJX,"The TJX Companies, Inc.",Consumer Discretionary,182464033345.81998
TMO,Thermo Fisher Scientific Inc.,Health Care,181756114890
NEE,"NextEra Energy, Inc.",Utilities,181612260600
GLW,Corning Inc,Information Technology,177145083519.75
DIS,The Walt Disney Company,Communication Services,175596035194.88
CRWD,"CrowdStrike Holdings, Inc.",Information Technology,172760415093
FNPFX,New Perspective Fund - Class F-3,Financials,171514281944.6
BA,The Boeing Company,Industrials,170832926420
DE,Deere & Company,Industrials,170265730193
ABT,Abbott Laboratories,Health Care,162406364400
IBKR,"Interactive Brokers Group, Inc.",Financials,158504014356.47998
T,AT&T Inc.,Communication Services,158491635400
WELL,Welltower Inc.,Real Estate,156705848860
SCHW,The Charles Schwab Corporation,Financials,155548681600
GILD,"Gilead Sciences, Inc.",Health Care,155258312743.69998
UNP,Union Pacific Corporation,Industrials,154267417355
BLK,"BlackRock, Inc.",Financials,152532917591.4
UBER,"Uber Technologies, Inc.",Information Technology,150328987110.05
APP,AppLovin Corporation,Information Technology,150268706694.9376
HON,Honeywell International Inc.,Industrials,144137074978.93
SCCO,Southern Copper Corporation,Materials,143371010471.04
ISRG,"Intuitive Surgical, Inc.",Health Care,142791438340
BKNG,Booking Holdings Inc.,Consumer Discretionary,140051528522.64
BX,Blackstone Inc.,Financials,138469748310.16
PFE,Pfizer Inc.,Health Care,137043034800.00002
COP,ConocoPhillips,Energy,133975791949.79
PLD,"Prologis, Inc.",Real Estate,131021459140
CVS,CVS Health Corp.,Health Care,129978714764.09001
PGR,The Progressive Corporation,Financials,128045766810
HONIV,Honeywell International Inc. Common Stock Ex Distribution When Issued,Industrials,127161484040
DHR,Danaher Corporation,Health Care,126669709114.19
TBB,AT&T Inc. 5.35% GLB NTS 66,Communication Services,125742690959
LOW,"Lowe's Companies, Inc.",Consumer Discretionary,124561060050
CRM,"Salesforce, Inc.",Information Technology,123169409999.99998
VRT,Vertiv Holdings Co,Industrials,122269518309.12
COF,Capital One Financial Corporation,Financials,121854916200
MO,"Altria Group, Inc.",Consumer Staples,119580911338.35
PH,Parker-Hannifin Corporation,Industrials,119476940488.62001
SPGI,S&P Global Inc.,Financials,119095600000
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,118887533431.14
SYK,Stryker Corporation,Health Care,118841836220
SBUX,Starbucks Corporation,Consumer Discretionary,117434688000
LMT,Lockheed Martin Corporation,Industrials,114776869698.48
BMY,Bristol-Myers Squibb Company,Health Care,113396147100
HWM,Howmet Aerospace Inc.,Industrials,110081571797.79
FTNT,"Fortinet, Inc.",Information Technology,109399057744.12
EQIX,"Equinix, Inc.",Real Estate,107264666161.99998
SO,The Southern Company,Utilities,107014589000.00002
PWR,"Quanta Services, Inc.",Industrials,105385637400
MDT,Medtronic plc,Health Care,104983300750
CDNS,"Cadence Design Systems, Inc.",Information Technology,103357908760
MAR,"Marriott International, Inc.",Consumer Discretionary,101140408237.88
NEM,Newmont Corporation,Materials,100392661926.56001
PNC,"The PNC Financial Services Group, Inc.",Financials,98989788150
NOW,"ServiceNow, Inc.",Information Technology,98943689520
BNY,Bank of New York Mellon Corp,Financials,98536569240
DUK,Duke Energy Corporation,Utilities,97706766680
CEG,Constellation Energy Corporation,Utilities,96487121753.8
CMI,Cummins Inc.,Industrials,96112144946.84
USB,U.S. Bancorp,Financials,95016283000
GD,General Dynamics Corporation,Industrials,93217285458.9
BE,Bloom Energy Corporation,Industrials,92782745302.92
WMB,"The Williams Companies, Inc.",Energy,92691038504.35
MNST,Monster Beverage Corporation,Consumer Staples,91629579825.9
UPS,"United Parcel Service, Inc.",Industrials,90219667408.32
WM,"Waste Management, Inc.",Industrials,89904834880
MCK,McKesson Corporation,Health Care,89437054980
FCX,Freeport-McMoRan Inc.,Materials,87849283350.15
CME,CME Group Inc.,Financials,87784364560
ADP,"Automatic Data Processing, Inc.",Industrials,86466522539.42
SNPS,"Synopsys, Inc.",Information Technology,86464403997
HCA,"HCA Healthcare, Inc.",Health Care,86020600848
ELV,Elevance Health Inc.,Health Care,85800856338
CSX,CSX Corporation,Industrials,85771742400
HOOD,"Robinhood Markets, Inc.",Financials,85538979828.95999
MMM,3M Company,Industrials,84410445520.24
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,83014398350
KKR,KKR & Co. Inc.,Financials,82833268171.955
ABNB,"Airbnb, Inc.",Consumer Discretionary,82409367386.65
SHW,The Sherwin-Williams Company,Materials,82161724423.73
AMT,American Tower Corporation,Real Estate,81279704817.74
CMCSA,Comcast Corporation,Communication Services,81250344943.05501
MDLZ,"Mondelez International, Inc.",Consumer Staples,80600368807.14
NET,"Cloudflare, Inc.",Information Technology,79840100127.6
EMR,Emerson Electric Co.,Industrials,79270953000
ACN,Accenture plc,Information Technology,79032323377.35
ADBE,Adobe Inc.,Information Technology,78911700794.08
SNOW,Snowflake Inc.,Information Technology,78655671000
FDX,FedEx Corporation,Industrials,78606609696.64
DDOG,"Datadog, Inc.",Information Technology,78514143078.56
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,78179003912.24
MRSH,"Marsh & McLennan Companies, Inc.",Financials,78161602850
EPD,Enterprise Products Partners L.P.,Energy,78081374400.39001
ECL,Ecolab Inc,Materials,77758367427.58
MCO,Moody's Corporation,Financials,77561559000
DASH,"DoorDash, Inc.",Communication Services,76812853148.8
AMFFX,American Funds American Mutual F1,Financials,76227049174
ITW,Illinois Tool Works Inc.,Industrials,75273828000
ICE,"Intercontinental Exchange, Inc.",Financials,75213161835
AMFCX,American Funds American Mutual C,Financials,75183504811
CI,Cigna Corporation,Health Care,74883718276.92
TDG,TransDigm Group Incorporated,Industrials,74218014172
CL,Colgate-Palmolive Company,Consumer Staples,73849471419.90001
ROST,"Ross Stores, Inc.",Consumer Discretionary,73474905457.8
NOC,Northrop Grumman Corporation,Industrials,72894176260
CVNA,Carvana Co.,Consumer Discretionary,72621489512
AEP,"American Electric Power Company, Inc.",Utilities,72556401750
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,72545718015.66
KMI,"Kinder Morgan, Inc.",Energy,72395830132.78
VLO,Valero Energy Corporation,Energy,72356633440
TER,"Teradyne, Inc.",Information Technology,72270819930.54001
MPC,Marathon Petroleum Corporation,Energy,71816502000
INTU,Intuit Inc,Information Technology,71730975195
EOG,"EOG Resources, Inc.",Energy,71611969050
GM,General Motors Company,Consumer Discretionary,71186467145.25
APO,"Apollo Global Management, Inc.",Financials,70681047093.8
SPG,"Simon Property Group, Inc.",Real Estate,70284880680
HONAV,Honeywell Aerospace Inc. Common Stock When Issued,Industrials,70034239559.73
MPWR,"Monolithic Power Systems, Inc.",Information Technology,69949328800
SLB,Slb N.V.,Energy,69684637579.21
PSX,Phillips 66,Energy,68864599035.2
FIX,"Comfort Systems USA, Inc.",Industrials,68802034728
ALAB,"Astera Labs, Inc. Common Stock",Information Technology,68549462964.880005
CTAS,Cintas Corporation,Industrials,68395397069.33
NSC,Norfolk Southern Corporation,Industrials,68236149383.82
WBD,"Warner Bros. Discovery, Inc.",Communication Services,68068761459.299995
DLR,"Digital Realty Trust, Inc.",Real Estate,67828386120
BSX,Boston Scientific Corporation,Health Care,67777796162.4
TRV,"The Travelers Companies, Inc.",Financials,67682679334.97
URI,"United Rentals, Inc.",Industrials,66602106324.00001
LITE,Lumentum Holdings Inc.,Information Technology,65548834000
ET,Energy Transfer LP,Energy,65286362035.0994
CIEN,Ciena Corporation,Information Technology,65093111181.700005
MSI,"Motorola Solutions, Inc.",Information Technology,64645482240
RSG,"Republic Services, Inc.",Industrials,64332560591.7
TGT,Target Corporation,Consumer Staples,64131769199.99999
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,63888063080
COHR,"Coherent, Inc.",Information Technology,63559285921
APD,"Air Products and Chemicals, Inc.",Materials,62896159760.7
GWW,"W.W. Grainger, Inc.",Industrials,62343979377.12
SATA,"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",Financials,62166444053
NKE,"NIKE, Inc.",Consumer Discretionary,62002773004.599
TFC,Truist Financial Corporation,Financials,61882823589.25
HPE,Hewlett Packard Enterprise Company,Information Technology,61866788501.119995
PCAR,PACCAR Inc,Industrials,61591277379.87
D,"Dominion Energy, Inc.",Utilities,60501751725.6084
AFL,Aflac Incorporated,Financials,60462328150
SRE,Sempra,Utilities,60329050100.00001
KEYS,"Keysight Technologies, Inc.",Information Technology,60254288849.439995
ALL,The Allstate Corporation,Financials,59618703600
DAL,"Delta Air Lines, Inc.",Industrials,59556536921
CARR,Carrier Global Corporation,Industrials,58763564927.25
O,Realty Income Corporation,Real Estate,57739937457.6
TRGP,Targa Resources Corp.,Energy,57679135680.00001
CRWV,"CoreWeave, Inc. Class A Common Stock",Information Technology,57677701102.2
MPLX,MPLX Lp,Energy,57423781158.21001
AAFTX,American Funds 2050 Target Date Retirement Fund Class A,Financials,57087164396.159996
BKR,Baker Hughes Co,Energy,55932833136.86
PSA,Public Storage,Real Estate,55820284235.520004
AJG,Arthur J. Gallagher & Co.,Financials,55442944760
COR,"Cencora, Inc.",Health Care,55346784738.200005
F,Ford Motor Company,Consumer Discretionary,55224290216.939995
RKLB,"Rocket Lab USA, Inc.",Industrials,55061829040
OKE,"ONEOK, Inc.",Energy,55008168308.12
SOMN,The Southern Company,Utilities,54773908527.91
VST,Vistra Corp.,Utilities,54755060978.52
LHX,"L3Harris Technologies, Inc.",Industrials,54727882150
MET,"MetLife, Inc.",Financials,54503084489.329796
NUE,Nucor Corporation,Materials,54400492670
AME,"AMETEK, Inc.",Industrials,53651838240
CAH,"Cardinal Health, Inc.",Health Care,53612095460
CTVA,"Corteva, Inc.",Materials,53565793800
FAST,Fastenal Company,Industrials,53378119800
FANG,"Diamondback Energy, Inc.",Energy,52861525830
ETR,Entergy Corporation,Utilities,52831002060
BDX,"Becton, Dickinson and Company",Health Care,52141510936
EW,Edwards Lifesciences Corporation,Health Care,51626228000
RNNEX,American Funds New Economy R2E,Financials,51393282000
EA,Electronic Arts Inc.,Communication Services,51283594520
ROK,"Rockwell Automation, Inc.",Industrials,51271720980
OXY,Occidental Petroleum Corporation,Energy,50815886874.090004
CRDO,Credo Technology Group Holding Ltd,Information Technology,50722920645.49
MCHP,Microchip Technology Incorporated,Information Technology,50554287540
XEL,Xcel Energy Inc.,Utilities,50147573754.799995
AZO,"AutoZone, Inc.",Consumer Discretionary,49734675037.54
FITB,Fifth Third Bancorp,Financials,49548052329.16
BMNP,"Bitmine Immersion Technologies, Inc.",Financials,49427878175.2
LNG,"Cheniere Energy, Inc.",Energy,49081269440
STT,State Street Corporation,Financials,48082736643.09
EXC,Exelon Corporation,Utilities,47988461859.799995
EBAY,eBay Inc.,Consumer Discretionary,47952000000
HEI,HEICO Corporation,Industrials,47481536732.7
NDAQ,"Nasdaq, Inc.",Financials,46232976750
ON,ON Semiconductor Corporation,Information Technology,45876165180
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,45856999529.96
ODFL,"Old Dominion Freight Line, Inc.",Industrials,45777978453.96
GFS,GLOBALFOUNDRIES Inc.,Information Technology,45408881232
HUM,Humana Inc.,Health Care,45143124000
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,45050159110.32
FOCKX,Fidelity OTC K,Financials,44662853625.299995
DHI,"D.R. Horton, Inc.",Consumer Discretionary,44261105997.04
LOLDX,Lord Abbett Short Duration Income F3,Financials,43657936896
IDXX,"IDEXX Laboratories, Inc.",Health Care,43606127985
XYZ,"Block, Inc.",Information Technology,43073249259.48
KDP,Keurig Dr Pepper Inc.,Consumer Staples,42823609349.725
MSCI,MSCI Inc.,Financials,42333928000
VTR,"Ventas, Inc.",Real Estate,42112021406.26
COIN,"Coinbase Global, Inc.",Financials,41674022602.740005
YUM,"Yum! Brands, Inc.",Consumer Discretionary,41657388470.28
AMP,"Ameriprise Financial, Inc.",Financials,41438068245
VMC,Vulcan Materials Company,Materials,40609422350
AIG,"American International Group, Inc.",Financials,40576682093.13
PEG,Public Service Enterprise Group Incorporated,Utilities,40513529982.6
ED,"Consolidated Edison, Inc.",Utilities,40379799776.85
PRUIX,T. Rowe Price Equity Index 500 Fund I Class,Financials,40250318771.25
LYV,"Live Nation Entertainment, Inc.",Communication Services,39903263644.53
ADSK,"Autodesk, Inc.",Information Technology,39860000483.78
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,39700617300
IRM,Iron Mountain Incorporated,Real Estate,39588634053.86
UAL,"United Airlines Holdings, Inc.",Industrials,39451483500
JBL,Jabil Inc.,Information Technology,39351422979.78
CBRE,"CBRE Group, Inc.",Real Estate,39219852591.26
CCL,Carnival Corporation & plc,Consumer Discretionary,39047120000
A,"Agilent Technologies, Inc.",Health Care,38752494720
SYY,Sysco Corporation,Consumer Staples,38536736378.72
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,38475653287.14
EME,"EMCOR Group, Inc.",Industrials,38416465110.88
ARES,Ares Management Corporation,Financials,38306320468
RKT,"Rocket Companies, Inc.",Financials,38039471058
RVMD,"Revolution Medicines, Inc.",Health Care,37878229320
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",Utilities,37710576420
CBRS,Cerebras Systems Inc.,Information Technology,37554778056.4
PCG,PG&E Corporation,Utilities,37536839900
PYPL,"PayPal Holdings, Inc.",Financials,37485072925.034996
WEC,"WEC Energy Group, Inc.",Utilities,37445423942.88
PRU,"Prudential Financial, Inc.",Financials,36906765869.82
CCI,Crown Castle Inc.,Real Estate,36805995726.39
PPLC,PPL Corporation,Utilities,36734050070.1
AXON,"Axon Enterprise, Inc.",Industrials,36663869775.375
FSNVX,Fidelity Freedom 2040 K,Financials,36435472373.49
HSY,The Hershey Company,Consumer Staples,36363730939.9
MLM,"Martin Marietta Materials, Inc.",Materials,36278531862
HIG,"The Hartford Insurance Group, Inc.",Financials,36272990102.4
KR,The Kroger Co.,Consumer Staples,36056487280
HBAN,Huntington Bancshares Incorporated,Financials,35703232551
KMB,Kimberly-Clark Corp,Consumer Staples,35427994302.61
KVUE,Kenvue Inc.,Consumer Staples,35347359577.88
STLD,"Steel Dynamics, Inc.",Materials,35143265970
ADM,Archer-Daniels-Midland Company,Consumer Staples,34912930815.88
MTB,M&T Bank Corporation,Financials,34660616800.8
PAYX,"Paychex, Inc.",Industrials,34653905520
RBLX,Roblox Corporation,Information Technology,33729759195.16
NTRA,"Natera, Inc.",Health Care,33621153400
ROP,"Roper Technologies, Inc.",Information Technology,33473783393.505
UI,Ubiquiti Inc.,Information Technology,33287146750
Q,"Qnity Electronics, Inc.",Information Technology,33228412327.109997
EQT,EQT Corporation,Energy,32312193479.999996
ZTS,Zoetis Inc.,Health Care,32213488587.120003
IR,Ingersoll Rand Inc.,Industrials,32109187229.7
RDDT,"Reddit, Inc.",Communication Services,31885272957.719997
CPNG,"Coupang, Inc.",Consumer Discretionary,31880339446.08
LVS,Las Vegas Sands Corp.,Consumer Discretionary,31647558642
ECHO,EchoStar Corporation,Communication Services,31638937956
AEE,Ameren Corporation,Utilities,31361493125.12
CNC,Centene Corp.,Health Care,31094397090
SUNB,Sunbelt Rentals Holdings Inc,Financials,31071879189.54
DTE,DTE Energy Company,Utilities,31035697320
NTAP,"NetApp, Inc.",Information Technology,30920094400
MTZ,"MasTec, Inc.",Industrials,30852005004.64
IQV,IQVIA Holdings Inc.,Health Care,30731297000
RJF,"Raymond James Financial, Inc.",Financials,30682384872.96
EXR,Extra Space Storage Inc.,Real Estate,30548352471.6936
MDLN,Medline Inc.,Health Care,30484103041.35
TPR,"Tapestry, Inc.",Consumer Discretionary,30413833850
DOV,Dover Corporation,Industrials,30287708583.344997
WDAY,"Workday, Inc.",Information Technology,30157394778.91
EL,The Estée Lauder Companies Inc.,Consumer Staples,30080479975.14
NRG,"NRG Energy, Inc.",Utilities,30004385898.7
SATS,EchoStar Corporation,Information Technology,29949856321.420002
CFG,"Citizens Financial Group, Inc.",Financials,29880842120
BIIB,Biogen Inc.,Health Care,29816768520
CRS,Carpenter Technology Corporation,Industrials,29773606134.88
CASY,"Casey's General Stores, Inc.",Consumer Discretionary,29653887833.9
ASTS,"AST SpaceMobile, Inc.",Information Technology,29650223829.24
ONC,BeOne Medicines AG,Health Care,29612619761
GEHC,GE HealthCare Technologies Inc.,Health Care,29540672582.84
CQP,"Cheniere Energy Partners, L.P.",Energy,29536975080
HAL,Halliburton Company,Energy,29330814475.85
ATO,Atmos Energy Corporation,Utilities,29020680252.920002
EIX,Edison International,Utilities,28948048181.43
CW,Curtiss-Wright Corporation,Industrials,28703284428
VICI,VICI Properties Inc.,Real Estate,28566978361.11
CNP,"CenterPoint Energy, Inc.",Utilities,28459643227.4
TDY,Teledyne Technologies Incorporated,Information Technology,28395568681
MTSI,"MACOM Technology Solutions Holdings, Inc.",Information Technology,28393472294.1
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,28266251436.66
TWCUX,American Century Ultra Fund,Financials,28100952024.68
GWPEX,American Funds Growth Portfolio F2,Financials,28068734949.7
EXPE,"Expedia Group, Inc.",Consumer Discretionary,28060269930
MSTR,Strategy Inc,Information Technology,27963452121.44
TWLO,Twilio Inc.,Information Technology,27932461194.399998
PPL,PPL Corporation,Utilities,27776775365.04
RMD,ResMed Inc.,Health Care,27743484003.84
FTAI,FTAI Aviation Ltd.,Industrials,27733306480.2
MKSI,MKS Inc.,Information Technology,27714019671
FE,FirstEnergy Corp.,Utilities,27660570420
CINF,Cincinnati Financial Corporation,Financials,27603895150
OTIS,Otis Worldwide Corporation,Industrials,27531628453
CPRT,"Copart, Inc.",Industrials,27404019867.2
STRL,"Sterling Infrastructure, Inc.",Industrials,27379542456.5
ATI,ATI Inc.,Industrials,27239497229.2
KHC,The Kraft Heinz Company,Consumer Staples,27201739015.72
ES,Eversource Energy,Utilities,27107846400
HRCAX,Harbor Capital Appreciation Admin,Financials,27104550841.7
TPL,Texas Pacific Land Corporation,Energy,26971749376
PPG,"PPG Industries, Inc.",Materials,26966442000
HUBB,Hubbell Inc,Industrials,26947204328
FSLR,"First Solar, Inc.",Energy,26781585720
XYL,Xylem Inc.,Industrials,26631178955.72
DXCM,"DexCom, Inc.",Health Care,26594365574.84
DVN,Devon Energy Corporation,Energy,26559965684.14
FICO,Fair Isaac Corporation,Information Technology,26445517748.039997
STRF,MicroStrategy Incorporated 10.00% Series A Perpetual Strife Preferred Stock,Information Technology,26335493791.2
TQQQ,ProShares UltraPro QQQ,Financials,26325959833
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,26033180972.21
WWD,"Woodward, Inc.",Industrials,26004360876
PHM,"PulteGroup, Inc.",Consumer Discretionary,25970909368.02
SYM,Symbotic Inc.,Industrials,25898890597.12
AVB,"AvalonBay Communities, Inc.",Real Estate,25892349360
MDB,"MongoDB, Inc.",Information Technology,25816235609.190002
VEEV,Veeva Systems Inc.,Health Care,25679035441.280003
WRB,W. R. Berkley Corporation,Financials,25672221919.999996
VG,"Venture Global, Inc.",Industrials,25663837561.85
FISV,"Fiserv, Inc.",Information Technology,25633466454.6
FZTKX,Fidelity Freedom 2050 K6,Financials,25620342779.16
ENTG,"Entegris, Inc.",Information Technology,25619906000
AWK,"American Water Works Company, Inc.",Utilities,25386467730
ZM,"Zoom Communications, Inc.",Information Technology,25348458479.894997
SSEYX,State Street Equity 500 Index II,Financials,25307328226.7
DG,Dollar General Corporation,Consumer Staples,25274818013.26
KEY,KeyCorp,Financials,25268051700
SYF,Synchrony Financial,Financials,25241222959.68
EQR,Equity Residential,Real Estate,25106770720.000004
RL,Ralph Lauren Corporation,Consumer Discretionary,25016632899.32
RF,Regions Financial Corporation,Financials,24995500200
ILMN,"Illumina, Inc.",Health Care,24953909000
PCBIX,Principal MidCap Institutional,Financials,24549375996.87
STZ,"Constellation Brands, Inc.",Consumer Staples,24530610051.780003
FCNCA,"First Citizens BancShares, Inc.",Financials,24489472979.554996
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,24368467238.28
RGVGX,American Funds U.S. Government Securities Fund® Class R-6,Financials,24347217918.100002
MRNA,"Moderna, Inc.",Health Care,24291238920
WST,"West Pharmaceutical Services, Inc.",Health Care,24186912336
LUV,Southwest Airlines Co.,Industrials,24150323340
WAT,Waters Corporation,Health Care,24148251635.625
AFRM,"Affirm Holdings, Inc.",Information Technology,24055764929.57
STRC,MicroStrategy Incorporated Variable Rate Series A Perpetual Stretch Preferred Stock,Information Technology,24016841461.36
P,"Everpure, Inc.",Industrials,23923182956.04
MKL,Markel Corporation,Financials,23780553935.6
CMS,CMS Energy Corporation,Utilities,23629260356.98
LPLA,LPL Financial Holdings Inc.,Financials,23602942281.100002
CMSA,CMS Energy Corporation 5.6% JRSUB NT 78,Utilities,23561298038.16
TCPA,TransCanada PipeLines Limited 6,Industrials,23549240000
CHD,"Church & Dwight Co., Inc.",Consumer Staples,23483480394.22
XPO,"XPO Logistics, Inc.",Industrials,23390416414.82
MTD,Mettler-Toledo International Inc.,Health Care,23372919620.640003
RPRX,Royalty Pharma plc,Health Care,23347115467.32
UTHR,United Therapeutics Corporation,Health Care,23341458476.7
VRSK,"Verisk Analytics, Inc.",Information Technology,23196106553.6
VRSN,"VeriSign, Inc.",Information Technology,23057580000
PFG,"Principal Financial Group, Inc.",Financials,23048521372.8
LEN,Lennar Corporation,Consumer Discretionary,23024420479.83
NI,NiSource Inc,Utilities,22835691239.350002
L,Loews Corporation,Financials,22753921976.34
TROW,"T. Rowe Price Group, Inc.",Financials,22712302000
FCNCN,"First Citizens BancShares, Inc. Depositary Shares, each representing a 1/40th interest in a share of 6.625% Non-Cumulative Perpetual Preferred Stock, Series E",Financials,22540052144
SNX,TD Synnex Corp,Information Technology,22384306043.85
FWONK,Formula One Group,Communication Services,22351523810.04
LCEYX,Invesco Diversified Dividend Fund Class Y,Financials,22269366332
SOFI,"SoFi Technologies, Inc.",Financials,22191402000
CPAY,"Corpay, Inc.",Information Technology,22181220831.84
INSM,Insmed Incorporated,Health Care,22141216800
FFIV,"F5, Inc.",Information Technology,21962884472.16
VLTO,Veralto Corporation,Industrials,21873070006.54
TTMI,"TTM Technologies, Inc.",Information Technology,21867694500
DGX,Quest Diagnostics Incorporated,Health Care,21827037280
DLTR,"Dollar Tree, Inc.",Consumer Staples,21794566750
SOJD,Southern Company (The) Series 2,Utilities,21688181250
INCY,Incyte Corporation,Health Care,21668372531.3
BG,Bunge Global S.A.,Consumer Staples,21642707900
ROL,"Rollins, Inc.",Consumer Discretionary,21492552960
FOXA,Fox Corporation,Communication Services,21425346628.98
LH,Labcorp Holdings Inc.,Health Care,21204379999.999996
HPQ,HP Inc.,Information Technology,21198643140
EXE,Expand Energy Corporation,Energy,21195689400
OMC,Omnicom Group Inc.,Communication Services,21114684030.66
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,21080414831.28
BRO,"Brown & Brown, Inc.",Financials,21079176120
EXPD,"Expeditors International of Washington, Inc.",Industrials,21038407698.715
DOW,Dow Inc.,Materials,21013203855
SMCI,"Super Micro Computer, Inc.",Information Technology,20991028850
BURL,"Burlington Stores, Inc.",Consumer Discretionary,20912545950
PKG,Packaging Corporation of America,Consumer Discretionary,20744850321
USFD,US Foods Holding Corp.,Consumer Staples,20703070220
FWONA,Formula One Group,Communication Services,20639887346.28
SOJC,The Southern Company JR 2017B NT 77,Utilities,20594161317
RBC,RBC Bearings Incorporated,Industrials,20527868101.51
AMKR,"Amkor Technology, Inc.",Information Technology,20515168952.27
ZS,"Zscaler, Inc.",Information Technology,20470808769.75
ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,20463771822.219997
TSN,"Tyson Foods, Inc.",Consumer Staples,20441488820.940002
SNA,Snap-on Incorporated,Industrials,20376283658.600002
RS,Reliance Steel & Aluminum Co.,Materials,20349472324.86
DKS,"DICK'S Sporting Goods, Inc.",Consumer Discretionary,20241769342.99
RBA,"RB Global, Inc.",Industrials,20206098000
STE,STERIS plc,Health Care,20190311709
